"title";"name";"unit";"batch";"elapsed";"error %";"instructions";"branches";"branch misses";"total"
"Eigen";"Sub2";"op";1;6.399e-05;0.0456736661491952;0;0;0;0.001014788
"Eigen";"Div";"op";1;8.2164e-05;0.267532627811545;0;0;0;0.001091112
"Eigen";"Div2";"op";1;6.2838e-05;0.0610763073909592;0;0;0;0.000930089
"Eigen";"Mul";"op";1;9.588e-05;0.251795179779095;0;0;0;0.001281902
"Eigen";"Mul2";"op";1;0.000100539;0.464750360582176;0;0;0;0.001336464
"Eigen";"Chained";"op";1;0.013068668;0.00294259736422535;0;0;0;0.144556338
"Eigen";"Gemm";"op";1;0.022597445;0.00185892444225171;0;0;0;0.251646863
"Eigen";"Gemm2";"op";1;0.021279665;0.00246606766177754;0;0;0;0.234647921
"Eigen";"Sum";"op";1;0.001434148;0.0218361084174505;0;0;0;0.016337146
"Eigen";"Sum2";"op";1;0.001479363;0.0400207812513182;0;0;0;0.017126333
"Eigen";"Sub";"op";1;0.001470697;0.0510969824228381;0;0;0;0.016825594
"Eigen";"Sub2";"op";1;0.001470066;0.0321612626908009;0;0;0;0.016982731
"Eigen";"Div";"op";1;0.001447604;0.0325145611539936;0;0;0;0.016834292
"Eigen";"Div2";"op";1;0.001450619;0.0146033544560549;0;0;0;0.016882683
"Eigen";"Mul";"op";1;0.001455358;0.029613187613309;0;0;0;0.01666278
"Eigen";"Mul2";"op";1;0.001491035;0.0230141915015657;0;0;0;0.017004441
"Eigen";"Chained";"op";1;0.090989306;0.00130430261616662;0;0;0;1.001587572
"Eigen";"Gemm";"op";1;0.165896676;0.0493945845829547;0;0;0;1.807643849
"Eigen";"Gemm2";"op";1;0.153717894;0.000894775204301031;0;0;0;1.690541227
"Eigen";"Sum";"op";1;0.003006636;0.00612481942273498;0;0;0;0.033870322
"Eigen";"Sum2";"op";1;0.002980197;0.012888666083218;0;0;0;0.033367016
"Eigen";"Sub";"op";1;0.003002649;0.00816396011998655;0;0;0;0.033650121
"Eigen";"Sub2";"op";1;0.002979325;0.00760222347465879;0;0;0;0.033355595
"Eigen";"Div";"op";1;0.002998562;0.00948155769024899;0;0;0;0.033650269
"Eigen";"Div2";"op";1;0.002971441;0.0122632256868896;0;0;0;0.033596581
"Eigen";"Mul";"op";1;0.002995686;0.0123577363254861;0;0;0;0.033638335
"Eigen";"Mul2";"op";1;0.002966531;0.00849109008367694;0;0;0;0.033285181
"Eigen";"Chained";"op";1;0.623084446;0.00171216190012123;0;0;0;6.855739137
"Eigen";"Gemm";"op";1;1.221270913;0.00111169326290497;0;0;0;13.508273129
"Eigen";"Gemm2";"op";1;1.219967691;0.00669957033253094;0;0;0;13.402128717
"Eigen";"Sum";"op";1;0.011860786;0.00196874656018451;0;0;0;0.131357381
"Eigen";"Sum2";"op";1;0.017441445;0.00208994486946518;0;0;0;0.192598982
"Eigen";"Sub";"op";1;0.011847641;0.00129213532525063;0;0;0;0.131281337
"Eigen";"Sub2";"op";1;0.017463587;0.00198951030333953;0;0;0;0.19270383
"Eigen";"Div";"op";1;0.011846818;0.00172808570939833;0;0;0;0.131279774
"Eigen";"Div2";"op";1;0.017366223;0.00114619963901147;0;0;0;0.191467301
"Eigen";"Mul";"op";1;0.011849925;0.000446615704072058;0;0;0;0.131164691
"Eigen";"Mul2";"op";1;0.017434872;0.00178917792970873;0;0;0;0.192676658
"Eigen";"Chained";"op";1;4.853930734;0.000152812571064068;0;0;0;53.421995113
