"title";"name";"unit";"batch";"elapsed";"error %";"instructions";"branches";"branch misses";"total"
"Torch";"Sub2";"op";1;1.27606666666667e-05;0.00612055480914653;0;0;0;0.000461521
"Torch";"Div";"op";1;1.5793e-05;0.0238131253106294;0;0;0;0.000438016
"Torch";"Div2";"op";1;1.4878e-05;0.00824352849683369;0;0;0;0.000487969
"Torch";"Gemm";"op";1;0.009682526;0.00897168639966844;0;0;0;0.105964672
"Torch";"Gemm2";"op";1;0.009372923;0.00652141953388049;0;0;0;0.104696266
"Torch";"Chained";"op";1;0.038091813;0.00157850029288078;0;0;0;0.426202529
"Torch";"Sum";"op";1;0.001182194;0.0330808741739189;0;0;0;0.013651483
"Torch";"Sum2";"op";1;0.0008665;0.111714805607525;0;0;0;0.010879616
"Torch";"Sub";"op";1;0.001151737;0.0598333925153159;0;0;0;0.012909719
"Torch";"Sub2";"op";1;0.000911474;0.0990517780767295;0;0;0;0.010030961
"Torch";"Div";"op";1;0.001179028;0.102076750432767;0;0;0;0.013029513
"Torch";"Div2";"op";1;0.000867181;0.0771310819740549;0;0;0;0.010495375
"Torch";"Gemm";"op";1;0.072091396;0.0109939156794048;0;0;0;0.805703398
"Torch";"Gemm2";"op";1;0.072302293;0.00539310205728383;0;0;0;0.796527564
"Torch";"Chained";"op";1;0.328997967;0.0385032889659478;0;0;0;3.64065257
"Torch";"Sum";"op";1;0.002884818;0.0290040502870514;0;0;0;0.032318383
"Torch";"Sum2";"op";1;0.002821538;0.00727484327921295;0;0;0;0.031779799
"Torch";"Sub";"op";1;0.002845143;0.00776692866813091;0;0;0;0.031847344
"Torch";"Sub2";"op";1;0.002823933;0.0048843377018134;0;0;0;0.031879185
"Torch";"Div";"op";1;0.002846736;0.0152754818726026;0;0;0;0.032150584
"Torch";"Div2";"op";1;0.0028386;0.0155600427604229;0;0;0;0.031815542
"Torch";"Gemm";"op";1;0.463379526;0.00324682064869187;0;0;0;5.102224575
"Torch";"Gemm2";"op";1;0.470760384;0.0089253126051029;0;0;0;5.195214895
"Torch";"Chained";"op";1;1.909917145;0.00531631548830467;0;0;0;21.097916479
"Torch";"Sum";"op";1;0.019805732;0.00483175143188645;0;0;0;0.218350285
"Torch";"Sum2";"op";1;0.019726653;0.00434701988751029;0;0;0;0.217832022
"Torch";"Sub";"op";1;0.019804921;0.00900455457455094;0;0;0;0.218227086
"Torch";"Sub2";"op";1;0.019930236;0.00672217767036845;0;0;0;0.220455047
"Torch";"Div";"op";1;0.019865114;0.01016950942957;0;0;0;0.217115616
